,id,externalchannelname,incidentdate,classificationid,createdatetime,priority,ciscaseid,crmcaseid,crmcasestatus,ciscasestatus,histclusterid,retiredate,externalchannelid,externalchannelincidentid,clusterid,month,municipalityid,submunicipalityid,coordinatex,coordinatey,numberofunits
0,2854,GEOTECH,2023-04-15 00:00:00,NSPCL-63,2023-05-24 06:53:47,,,,Retired,Retired,7f9ace48da5451f5_NSPCL-63,2024-02-01 00:00:00,002,GT_VD_656440_63,532_NSPCL-63,4,008001,008201,43.503425,25.868403,3
1,3033,GEOTECH,2023-04-13 00:00:00,NSPCL-55,2023-05-24 06:53:47,Low (0%-10%),,INC-23-05-160251,Rejected,,aa6054bb07d2ffcd_NSPCL-55,2024-03-01 00:00:00,002,GT_VD_589725_55,666_NSPCL-55,4,008001,008001068,43.9327,26.398986,1
2,3057,GEOTECH,2023-04-15 00:00:00,NSPCL-5,2023-05-24 06:53:47,,,,Retired,Retired,56f7c7f26a11ca8a_NSPCL-5,2024-02-01 00:00:00,002,GT_VD_664903_5,411_NSPCL-5,4,008001,008710,43.369908,25.842186,1
3,3064,GEOTECH,2023-04-15 00:00:00,NSPCL-63,2023-05-24 06:53:47,,,,Retired,Retired,2a24ef244d74706f_NSPCL-63,2024-02-01 00:00:00,002,GT_VD_665428_63,1116_NSPCL-63,4,008001,008201,43.505494,25.868189,2
4,3067,GEOTECH,2023-04-13 00:00:00,NSPCL-69,2023-05-24 06:53:47,Low (0%-10%),,,Retired,Retired,9c48c495fed46794_NSPCL-69,2023-06-01 00:00:00,002,GT_VD_585012_69,3_NSPCL-69,4,008001,008001067,44.017436,26.316222,1
5,3088,GEOTECH,2023-04-15 00:00:00,NSPCL-23,2023-05-24 06:53:47,,,INC-23-05-199034,Resolved,Retired,2a24ef244d74706f_NSPCL-23,2024-02-01 00:00:00,002,GT_VD_665113_23,1009_NSPCL-23,4,008001,008201,43.502556,25.868483,2
6,2887,GEOTECH,2023-04-15 00:00:00,NSPCL-23,2023-05-24 06:53:47,,,INC-23-05-198178,Retired,Retired,6dac8e84c96c6394_NSPCL-23,2023-06-01 00:00:00,002,GT_VD_663607_23,234_NSPCL-23,4,008001,008710,43.366111,25.841714,6
7,2892,GEOTECH,2023-04-15 00:00:00,NSPCL-29,2023-05-24 06:53:47,,,INC-23-05-195957,Retired,Retired,56f7c7f26a11ca8a_NSPCL-29,2023-08-01 00:00:00,002,GT_VD_665129_29,1181_NSPCL-29,4,008001,008710,43.367547,25.842347,1
8,2898,GEOTECH,2023-04-15 00:00:00,NSPCL-5,2023-05-24 06:53:47,,,,Retired,Retired,9a280cc5fc757eb0_NSPCL-5,2023-12-01 00:00:00,002,GT_VD_669003_5,656_NSPCL-5,4,008001,008201,43.505006,25.870919,1
9,2915,GEOTECH,2023-04-15 00:00:00,NSPCL-5,2023-05-24 06:53:47,,,,Retired,Retired,9a280cc5fc757eb0_NSPCL-5,2023-12-01 00:00:00,002,GT_VD_663811_5,656_NSPCL-5,4,008001,008201,43.505092,25.871003,1
